,Num_comment,Num_follower,Num_following,Num_forward,Num_good,Num_original_post,Num_post,User_id,User_name
0,99624,317185,1365,337369,5063,1469,5951,1886130502,爱佑慈善基金会
1,53,374,51,64,66,343,650,2755611584,北京交通大学教育基金会
2,33,68,20,36,4,55,57,3917867986,华润慈善基金会
3,0,3,0,0,0,0,0,3515106867,桃源居公益事业发展基金会
4,2164,51102,182,8412,1072,899,2161,2174974760,王振滔慈善基金会
5,1192,2306,514,4610,73,376,831,1919675101,香江社会救助基金会
6,446,27135,2001,1242,1042,1330,7273,1730345205,友成基金会
7,430,6513,771,981,19,292,688,1795912273,威廉姆斯血液学手册
8,36041,72000,962,104704,68691,1226,6046,1378417172,中国红十字基金会
9,1,1068,35,2,2,7,12,2056231602,科基会
10,2732,18041,200,38691,10285,874,2876,1683873480,中国发展研究基金会
11,1,80,172,0,13,18,21,2978401472,听力观察
12,13552,172465,2567,73698,43461,713,9846,1647171880,中国扶贫基金会
13,3122,62103,1334,63311,9744,965,6578,1726432853,中国妇女发展基金会
14,43,1397,175,116,0,314,453,2122201415,中国古生物化石保护基金会CFPF
15,61,75,63,41,79,136,156,2933793274,安徽省儿童少年基金会
16,0,23,290,0,0,0,2,2203379011,中国教师发展基金会
17,13,139,177,47,25,104,150,2519592723,中国金融教育发展基金会
18,4019,72992,391,14846,11638,759,6940,1913886700,中国青少年发展基金会
19,3,546,21,1,0,4,10,2179972137,中国民基会-cemf
20,0,2,87,0,0,0,1,2464667281,中国艺术节基金会CAF_635
21,0,0,0,0,0,0,0,67133047,
22,336,2808,220,813,61,1066,1635,1300298094,中華健康快車基金會
23,4363,26484,276,24985,5875,902,3128,1689509251,中华思源工程扶贫基金会
24,47,659,96,49,0,42,76,1937938114,浙江正泰公益基金会
25,236,2325,310,436,12,137,507,1998895327,北京万通公益基金会
26,1713,9458,518,4809,845,973,2063,1846818273,北京西部阳光基金会
27,0,0,0,0,0,0,0,1622279560,
28,255,1176,657,419,62,618,966,1904299893,北京文化发展基金会
29,0,3,0,0,0,0,0,3217783640,上海交通大学教育发展基金会
30,1193,11881,859,4336,546,1442,2020,1633932795,北京青少年发展基金会
31,10,35236,235,17,0,13,30,2210474272,夏征农基金会
32,43,466,72,72,6,25,28,2977087305,上海宋庆龄基金会
33,2803,23651,367,5678,1484,1075,1714,2042692811,爱德基金会
34,8,1727,156,8,1,10,27,3214978531,河北省红十字基金会hbrcf
35,200,2054,617,561,460,796,3678,1967539862,新教育基金会
36,0,3,0,0,0,0,0,2849348572,山西省创业就业促进基金会_529
37,249,1109,731,774,631,922,3205,2681069971,江苏省儿基会
38,14511,87762,126,45174,1412,164,303,2107674120,江苏青少年发展基金会
39,66,3300,98,171,1020,195,231,3686273221,江苏陶欣伯助学基金会
40,364,1896,453,627,124,255,550,1998104351,灵山慈善基金会
41,0,0,4,0,0,2,2,2452937481,江苏宏德文化出版基金会_188
42,73,814,4,93,3,47,70,1906768271,黑龙江妇女儿童基金会
43,0,6,48,0,0,0,0,2079254255,南航十分关爱基金会_697
44,0,0,0,0,0,0,0,318622243,
45,696,3183,727,2301,519,616,944,1708684674,爱之光基金会
46,403,1726,426,1335,96,563,1147,2090502362,广州市青少年发展基金会
47,32,897,129,106,1,245,261,2202943364,-南粤环保公益之声
48,6790,7096,202,20083,22123,770,5314,1264485787,纯山教育基金会
49,439,891,433,1760,93,359,872,2713073553,华南理工大学教育发展基金会
50,394,2839,1554,1387,48,430,2218,1733240442,新疆妇女儿童基金会
51,1765,6100,496,4641,251,727,1796,2011313452,千禾基金会
52,250,1650,399,667,119,1154,3622,1902035904,春桃慈善基金会
53,0,72,56,8,0,6,11,2457942244,广州市羊城志愿服务基金会
54,469,1136,233,342,1543,1940,3519,2304539550,弘慧教育基金会
55,826,2656,524,5527,528,355,2411,2810354902,湖南省青少年发展基金会
56,0,2,0,0,0,0,0,3204624993,云南教育基金会1988_233
57,161,2591,1774,532,42,263,1036,2628517741,云南省青年创业就业基金会
58,7613,12913,438,7182,3257,1003,1604,2739935635,河南足球事业发展基金会
59,0,1,0,0,0,0,0,2790629904,安徽省青年创业就业基金会_705
60,0,0,0,0,0,0,0,1731880741,
61,176,3176,299,542,16,246,404,1958373723,浙江省阳光教育基金会
62,63,2929,280,150,41,208,726,1904762011,团黑龙江省委青年创业基金会
63,1627,12037,1736,155429,218,160,3644,2095746640,麦田教育基金会
64,13,136,20,17,1,30,36,2625501075,湖北省妇女儿童发展基金会微博
65,0,1,0,0,0,0,0,3297184193,河仁慈善基金会2013
66,0,0,0,0,0,0,0,2025606595,
67,1759,17253,62,18057,9680,1483,3504,2118794024,上海慈慧公益基金会
68,2563,933,1940,3083,204,129,432,2902997477,瑞普华老年救助基金会
69,10455,223324,334,31265,8397,1465,6802,2380626282,安利公益基金会
70,116,413,220,475,42,233,545,2506910862,上海华信公益基金会
71,17593,26266,796,160174,1448,948,3494,2187550224,唯品会公益
72,1408,19370,254,3899,346,725,1542,2492866484,鄞州银行公益基金会
73,1587,10081,216,2678,791,346,601,2910272074,成美慈善基金会
74,493,592,229,1561,97,220,452,2576551274,北京市戈友公益援助基金会
75,195,430,116,454,3,120,188,2486311595,上海思麦公益基金会
76,565,7176,299,1544,311,228,755,2785042192,阿里巴巴公益基金会
77,32,111,267,50,0,49,92,3314770450,湖南湖湘文化基金会
78,23,118,70,54,10,79,146,3081937077,贵州省妇女儿童发展基金会-
79,1333,799,331,3315,15,224,1013,1752103927,阳光保险爱心基金会
80,3916,52997,533,21341,1267,571,1230,2712946375,感恩公益基金会
81,276,1669,406,757,212,230,629,2977172722,敦和基金会
82,1,10977,358,0,1,12,3641,2768294511,北京京安公益基金会
83,51,1402,26,125,7,33,77,3016245914,浙江省寅幸慈善基金会
84,2931,11434,308,9837,2165,788,1229,3223787234,北京尚善公益基金会
85,202,804,150,783,100,215,399,3140757723,深圳市志愿服务基金会
86,0,25,63,0,1,4,8,3610692213,北京市壹嘉壹慈善基金会_642
