,Fund_name,User_id
0,爱佑慈善基金会,1886130502
2,北京交通大学教育基金会,2755611584
6,华润慈善基金会,3917867986
12,桃源居公益事业发展基金会,3515106867
13,王振滔慈善基金会,2174974760
16,香江社会救助基金会,1919675101
17,友成企业家扶贫基金会,1730345205
18,中国癌症基金会,1795912273
19,中国红十字基金会,1378417172
20,中华国际科学交流基金会,2056231602
22,中国发展研究基金会,1683873480
28,中国听力医学发展基金会,2978401472
39,中国扶贫基金会,1647171880
40,中国妇女发展基金会,1726432853
41,中国古生物化石保护基金会,2122201415
49,安徽省儿童少年基金会,2933793274
54,中国教师发展基金会,2203379011
60,中国金融教育发展基金会,2519592723
67,中国青少年发展基金会,1913886700
70,中国少数民族文化艺术基金会,2179972137
75,中国艺术节基金会,2464667281
78,中华环境保护基金会,67133047
79,中华健康快车基金会,1300298094
82,中华思源工程扶贫基金会,1689509251
93,浙江正泰公益基金会,1937938114
94,北京万通公益基金会,1998895327
108,北京市西部阳光农村发展基金会,1846818273
110,北京市希望公益基金会,1622279560
113,北京文化发展基金会,1904299893
130,上海交通大学教育发展基金会,3217783640
132,北京青少年发展基金会,1633932795
137,上海夏征农民族文化教育发展基金会,2210474272
145,上海宋庆龄基金会,2977087305
150,爱德基金会,2042692811
154,河北省红十字基金会,3214978531
155,江苏昌明教育基金会,1967539862
159,山西省创业就业基金会,2849348572
160,江苏省儿童少年福利基金会,2681069971
162,江苏省青少年发展基金会,2107674120
168,江苏陶欣伯助学基金会,3686273221
184,无锡灵山慈善基金会,1998104351
187,江苏宏德文化出版基金会,2452937481
194,黑龙江省妇女儿童基金会,1906768271
195,南航“十分”关爱基金会,2079254255
196,腾讯公益慈善基金会,318622243
208,辽宁爱之光防盲基金会,1708684674
213,广州市青少年发展基金会,2090502362
221,广东省环境保护基金会,2202943364
234,陕西纯山教育基金会,1264485787
237,广东省华南理工大学教育发展基金会,2713073553
247,新疆妇女儿童发展基金会,1733240442
251,广东省千禾社区公益基金会,2011313452
254,广东省春桃慈善基金会,1902035904
257,广州市羊城志愿服务基金会,2457942244
264,湖南弘慧教育发展基金会,2304539550
269,湖南省青少年发展基金会,2810354902
286,云南教育基金会,3204624993
288,云南省青年创业就业基金会,2628517741
304,河南足球事业发展基金会,2739935635
306,安徽省青年创业就业基金会,2790629904
313,上海恩德公益基金会,1731880741
323,浙江省阳光教育基金会,1958373723
328,黑龙江省青年创业就业基金会,1904762011
330,广东省麦田教育基金会,2095746640
336,湖北省妇女儿童发展基金会,2625501075
342,河仁慈善基金会,3297184193
344,广东省环球公益基金会,2025606595
346,上海慈慧公益基金会,2118794024
348,北京瑞普华老年救助基金会,2902997477
370,安利公益基金会,2380626282
371,上海华信公益基金会,2506910862
383,广东省唯品会慈善基金会,2187550224
397,宁波鄞州银行公益基金会,2492866484
398,海南成美慈善基金会,2910272074
403,北京市戈友公益援助基金会,2576551274
417,上海思麦公益基金会,2486311595
420,阿里巴巴公益基金会,2785042192
426,湖南省湖湘文化基金会,3314770450
427,贵州省妇女儿童发展基金会,3081937077
432,北京市阳光保险爱心基金会,1752103927
438,北京感恩公益基金会,2712946375
440,浙江敦和慈善基金会,2977172722
446,北京京安公益基金会,2768294511
454,浙江省寅幸慈善基金会,3016245914
464,北京尚善公益基金会,3223787234
471,深圳市志愿服务基金会,3140757723
482,北京市壹嘉壹慈善基金会,3610692213
